"Protein names","unique_genes","unique_organisms","Measure","Value"
"1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)","GBE1","Homo sapiens (Human)","mean_length",702
"1,4-alpha-glucan-branching enzyme (EC 2.4.1.18) (Brancher enzyme) (Glycogen-branching enzyme)","GBE1","Homo sapiens (Human)","mean_mass",80474
"1-aminocyclopropane-1-carboxylate synthase 4 (ACC synthase 4) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 4)","ACS4 ACC4 At2g22810 T20K9.2","Arabidopsis thaliana (Mouse-ear cress)","mean_length",474
"1-aminocyclopropane-1-carboxylate synthase 4 (ACC synthase 4) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 4)","ACS4 ACC4 At2g22810 T20K9.2","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",53795
"1-aminocyclopropane-1-carboxylate synthase 5 (ACC synthase 5) (EC 4.4.1.14) (Ethylene-overproduction protein 2) (S-adenosyl-L-methionine methylthioadenosine-lyase 5)","ACS5 ACC5 ETO2 At5g65800 F6H11.90 MPA24.15","Arabidopsis thaliana (Mouse-ear cress)","mean_length",470
"1-aminocyclopropane-1-carboxylate synthase 5 (ACC synthase 5) (EC 4.4.1.14) (Ethylene-overproduction protein 2) (S-adenosyl-L-methionine methylthioadenosine-lyase 5)","ACS5 ACC5 ETO2 At5g65800 F6H11.90 MPA24.15","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",53313
"1-aminocyclopropane-1-carboxylate synthase 6 (ACC synthase 6) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 6)","ACS6 ACC6 At4g11280 F8L21.70","Arabidopsis thaliana (Mouse-ear cress)","mean_length",495
"1-aminocyclopropane-1-carboxylate synthase 6 (ACC synthase 6) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 6)","ACS6 ACC6 At4g11280 F8L21.70","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",55524
"1-aminocyclopropane-1-carboxylate synthase 7 (ACC synthase 7) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 7)","ACS7 At4g26200 T25K17.10","Arabidopsis thaliana (Mouse-ear cress)","mean_length",447
"1-aminocyclopropane-1-carboxylate synthase 7 (ACC synthase 7) (EC 4.4.1.14) (S-adenosyl-L-methionine methylthioadenosine-lyase 7)","ACS7 At4g26200 T25K17.10","Arabidopsis thaliana (Mouse-ear cress)","mean_mass",50666
